title,description,price,pagecount,publisher,writer,artist,coverartist,productcode,upc,color,format
DC Poster Portfolio Stanley Artgerm Lau TP Vol 02,"DC spotlights top cover artists with the Poster Portfolio series, continuing with a second helping of frame-worthy artwork by Stanley 'Artgerm' Lau! This collection includes 20 of his most memorable DC covers, highlighted by Wonder Woman, Catwoman, Supergirl, and many more! Printed on heavy card stock at a big 12 by 16 inches, the pages of the Poster Portfolios are easily pulled out and are suitable for framing.",14.49,42.0,DC,Unknown,Unknown,Unknown,JAN200643,9781779502780,Full Color,Softcover
DC Poster Portfolio James Jean TP,"DC spotlights top cover artists with the new Poster Portfolio series, continuing with celebrated artist James Jean! This collection includes 20 of Jean's most memorable DC covers, highlighted by his years of iconic work on Fables! Printed on heavy card stock paper at a big 12 inches by 16 inches, the pages of the Poster Portfolio are easily removed from the binding and are suitable for framing.",14.49,42.0,DC,Unknown,Unknown,Unknown,FEB200551,9781779504937,Full Color,Softcover
DC Poster Portfolio Stanley Artgerm Lau TP,"(A/CA) Stanley Lau DC spotlights top cover artists with the new POSTER PORTFOLIO series, starting with superstar illustrator Stanley 'Artgerm' Lau! This collection includes 20 of Artgerm's most memorable DC covers starring Supergirl, Catwoman, Batman, Wonder Woman and more! Printed on heavy cardstock paper at a big 12 by 16 inches, the pages of the POSTER PORTFOLIOS are easily pulled out and are suitable for framing. Watch for upcoming POSTER PORTFOLIOS featuring the art of Jim Lee, Frank Cho and more!",14.49,42.0,DC,Unknown,Stanley Lau,Stanley Lau,OCT180551,9781401293451,Color,Softcover
DC Poster Portfolio Greg Capullo TP,"(A/CA) GREG CAPULLO DC spotlights top cover artists with the new Poster Portfolio series, continuing with era-defining superstar Greg Capullo! This collection includes 20 of Capullo?s most memorable DC images, highlighted by his years on Batman and his DC Universe-rocking events Dark Nights: Metal and Dark Nights: Death Metal! Printed on heavy card stock paper at a big 12 inches by 16 inches, the pages of the Poster Portfolio are easily removed from the binding and are suitable for framing.",14.49,,DC,Unknown,Greg Capullo,Greg Capullo,JUL207119,9781779508034,Full Color,Softcover
DC Poster Portfolio Frank Cho TP,"DC spotlights top cover artists with the new POSTER PORTFOLIO series, continuing with acclaimed illustrator Frank Cho! This collection includes 20 of Cho's most memorable DC covers starring Harley Quinn, Wonder Woman and more! Printed on heavy cardstock paper at a big 12 inches by 16 inches, the pages of the POSTER PORTFOLIOS are easily removed from the binding and are suitable for framing.",14.49,,DC,Unknown,Frank Cho,Frank Cho,MAR190575,9781401294908,Color,Softcover
DC Holiday Knightmares TP,"The holidays are just around the corner-and what better way to celebrate than with the heroes (and villains!) of the DC Universe! This new stocking stuffer collects DC'S NUCLEAR WINTER SPECIAL #1, HARLEY QUINN #55 and a story from SWAMP THING WINTER SPECIAL #1.",9.85,144.0,DC,Tom King,Jason Fabok,Yanick Paquette,AUG190655,9781401294878,Color,Softcover
DC Poster Portfolio Clay Mann TP,"This collection features Mann's cover work and variant pieces including popular and favorite DC characters that can't be missed. Collects Clay Mann's striking covers for DC titles including Action Comics #959, #961, #964-969, and #983; Batman #36, #50, #78, and #79; Batman Eternal #28, DC Nation #0, Doom Patrol/Justice League Special #1, Harley Quinn #1, Heroes in Crisis #1, Justice League #46, Poison Ivy: Cycle of Life and Death #2, and Trinity #3-4 and #12. Printed on heavy card stock paper at a big 12 inches by 16 inches, the pages of the Poster Portfolio are easily removed from the binging and are suitable for framing.",14.49,,DC,Unknown,Unknown,Unknown,FEB209261,978177950710552499,Full Color,Softcover
DC Nuclear Winter Special #1,"(W) Paul Dini & Various (A) Amancay Nahuelpan & Various (CA) Yanick Paquette The holidays are tough enough as it is, but when you're living in a post-apocalyptic wasteland (or, you know, 2018) the world can seem bleaker than ever. So do yourself a favor this holiday season, break out your best eggnog and enjoy 10 all-new stories featuring the World's Greatest Heroes, including looks at the futures of Batman, Superman and the Flash, as well as many more denizens of the DC Universe.",5.79,,DC,Various,Various,Yanick Paquette,SEP180425,76194135785000111,Color,Softcover
DC New 52 Villains Omnibus HC,"The Joker! Grodd! Darkseid! Lex Luthor! These and dozens of other DCU evildoers took center stage in September's giant Villains Month event! This incredible book collects JUSTICE LEAGUE #23.1-23.4, JUSTICE LEAGUE OF AMERICA #7.1-7.4, JUSTICE LEAGUE DARK #23.1-23.2, AQUAMAN #23.1-23.2, EARTH 2 #15.1-15.2, THE FLASH #23.1-23.3, GREEN ARROW #23.1, WONDER WOMAN #23.1-23.2, ACTION COMICS #23.1-23.4, SUPERMAN #23.1-23.4, BATMAN/SUPERMAN #3.1, BATMAN #23.1-23.4, BATMAN AND ROBIN #23.1-23.4, BATMAN: THE DARK KNIGHT #23.1-23.4, DETECTIVE COMICS #23.1-23.4, GREEN LANTERN #23.1-23.4, SWAMP THING #23.1 and TEEN TITANS #23.1-23.2. Retailers: The 3D motion cover will be available only on the first printing of this title.",87.0,1184.0,DC,"Sterling Gates, Greg Pak, Matt Kindt, Dan Didio, Ann Nocenti, Jeff Lemire, Charles Soule, Peter J. Tomasi, James Tynion Iv, Gail Simone, Others Geoff Johns",Various,Various,AUG130289,9781401244965,Color,Hardcover
Fables Deluxe Edition HC Vol 08 (MR),"In these tales from FABLES #60-63 and 65-69, Flycatcher is drawn into the spotlight as he discovers the truth about his own past as the Frog Prince.",17.39,232.0,DC,Bill Willingham,Various Mark Buckingham,James Jean,OCT130286,9781401242794,Color,Hardcover
Fables Deluxe Edition HC Vol 03 (MR),"When Little Red Riding Hood suddenly reappears in these stories from issues #19-27, she's welcomed as a miraculous survivor by nearly everyone except her old nemesis, Bigby Wolf, who smells espionage and subversion. But will he be able to prove his case before disaster strikes? Mature Readers",17.39,232.0,DC,Bill Willingham,"Steve Leialoha, Tony Akins, Jimmy Palmiotti Mark Buckingham",James Jean,APR110244,9781401230975,Full Color,Hardcover
Fables Deluxe Edition HC Vol 02 (MR),"For the first time in hardcover - Bill Willingham's acclaimed series gets the deluxe treatment in this volume collecting issues #11-18 of the Eisner Award winning series, along with FABLES: THE LAST CASTLE. As Snow White recovers from a bullet to the brain, she and Bigby spend a lot of time in each other's company. But when they announce that they'll be vacationing together, all of Fabletown is shocked. The twosome are about to leave New York City and cross paths with a ruthless enemy lurking in the woods. MATURE READERS",17.39,264.0,DC,Bill Willingham,"Steve Leialoha, Bryan Talbot, Lan Medina, Linda Medley, Craig Hamilton, P. Craig Russell Mark Buckingham",James Jean,JUL100251,9781401228798,Full Color,Hardcover
Fables Complete Covers By James Jean HC New Ed (MR),"(W/A/CA) James Jean Vertigo's spectacular collection of James Jean's FABLES covers is back in print, now with even more covers! This oversized hardcover includes commentary from Jean and brand-new cover art.",28.99,232.0,DC,James Jean,James Jean,James Jean,AUG140365,9781401252816,Full Color,Hardcover
Fables Compendium One TP,"(W) BILL WILLINGHAM (A) MARK BUCKINGHAM, LAN MEDINA, STEVE LEIALOHA, CRAIG HAMILTON, P. CRAIG RUSSELL, TONY AKINS, DAVID HAHN, BRYAN TALBOT, LINDA MEDLEY, and others (CA) MARK BUCKINGHAM Collecting the first six story arcs of the Eisner Award-winning modern fairy tale classic in an affordably priced compendium! When a savage creature known only as the Adversary conquered the fabled lands of legends and fairy tales, the famous figures of folklore were forced into exile. Disguised among the ordinary citizens of modern-day New York City, these magical characters created their own peaceful and secret society called Fabletown. But when Snow White?s party-girl sister, Rose Red, is apparently murdered, it?s up to Fabletown?s sheriff?the reformed Big Bad Wolf, better known as Bigby?to find the killer. Meanwhile, trouble of a different sort brews at the Fables? upstate farm, where nonhuman inhabitants are preaching revolution...and threatening the carefully nurtured secrecy of Fabletown. Collecting Fables #1-41, Fables: The Last Castle, Fables: 1,001 Nights of Snowfall, and a short story fro",34.79,1180.0,DC,Bill Willingham,"Lan Medina, Steve Leialoha, Craig Hamilton, P. Craig Russell Mark Buckingham",Mark Buckingham,JUL207121,9781779504548,Full Color,Softcover
Exit Stage Left the Snagglepuss Chronicles TP,"(W) Mark Russell (A) Mike Feehan & Various (CA) Ben Caldwell It's 1953. While the United States is locked in a nuclear arms race with the Soviet Union, the gay Southern playwright known as Snagglepuss is the toast of Broadway. But success has made him a target. As he plans for his next hit play, Snagglepuss becomes the focus of the House Committee on Un-American Activities. And when powerful forces align to purge show business of its most subversive voices, no one is safe! Collects the six-issue miniseries, plus the backup story from the SUICIDE SQUAD/BANANA SPLITS SPECIAL #1.",9.85,,DC,Mark Russell,Mike Feehan,Ben Caldwell,MAY180576,9781401275211,Color,Softcover
Ex Machina Compendium Two TP (MR),"(W) Brian K. Vaughan (A) Tony Harris - Jim Clark - John Paul Leon (CA) Tony Harris As the second half of the Eisner Award-winning series begins, Mayor Mitchell Hundred is summoned to Rome for an audience with the Pope, but as Hundred makes his travel plans, he is unaware of the assassin who has him in his sights. And as Mayor Hundred descends into the NYC sewers to learn why he was given the strange powers that helped him become the heroic Great Machine, a determined reporter with far greater powers than the Great Machine aims to bring down the mayor?s administration! Collects Ex Machina #26-50 and Ex Machina Special #3-4.",34.79,,DC,Brian K. Vaughan,Tony Harris - Jim Clark - John Paul Leon,Tony Harris,NOV207087,9781779508041,Full Color,Softcover
Event Leviathan TP,"(W) Brian Michael Bendis (A/CA) Alex Maleev Now available in paperback! The groundbreaking team of writer Brian Michael Bendis and artist Alex Maleev reunite for a mystery thriller that transforms the landscape of the DC Universe! The world?s greatest detectives race to solve the mystery of Leviathan only to discover that this time, they?re already too late. Leviathan is in control. With startling ease, a dangerous and aggressive secret organization called Leviathan has returned and has systematically wiped out all its competition. The ways of the old world no longer work. Now Leviathan is turning its sights to molding the world into its own radical vision of order. Can this new threat be stopped? Join Lois Lane as she leads Batman, Green Arrow, Plastic Man, Manhunter, and the Question?plus a couple of surprise sleuths?in search of the man who sits behind the cloak of Leviathan. But will whoever find him first capture him...or join him? Collects content from Event Leviathan #1-6, Superman: Leviathan Rising #1, and DC?s Year of the Villain Special #1.",11.59,,DC,Brian Michael Bendis,Alex Maleev,Alex Maleev,JAN217094,9781779505859,Full Color,Softcover
Elseworlds Batman TP Vol 03,"(W) Doug Moench & Various (A) Jim Aparo & Various (CA) Eduardo Barreto In these stories, Ra's al Ghul creates a league of Batman-like assassins in the far future; Batman takes on Al Capone in the 1920s; the Batman and Harvey Dent fight over the love of a ballerina in an operatic tale; and the Dark Knight seeks vengeance in Camelot. Includes BROTHERHOOD OF THE BAT #1, BATMAN: KNIGHT GALLERY #1, BATMAN: SCAR OF THE BAT #1, BATMAN: MASQUE #1 and BATMAN: DARK KNIGHT OF THE ROUND TABLE #1-2.",20.29,352.0,DC,Doug Moench,Jim Aparo,Eduardo Barreto,MAR180341,9781401265960,Color,Softcover
Doomsday Clock the Complete Collection TP,"(W) GEOFF JOHNS (A/CA) GARY FRANK The story you thought you?d never see?now collected in one volume! The world of Watchmen collides with the DC Universe, as presented by master storytellers Geoff Johns and Gary Frank (Shazam!: Origins, Batman: Earth One). Seven years after the events of Watchmen, Adrian Veidt has been exposed as the murderer of millions. Now a fugitive, he has come up with a new plan to redeem himself in the eyes of the world. The first step? Finding Dr. Manhattan. Alongside a new Rorschach and the deadly new duo Mime and Marionette, he follows Manhattan?s trail into the DC Universe?which is on the brink of collapse as international tensions push the ?Doomsday Clock? ever closer to midnight. Is this all Dr. Manhattan?s doing? Collects Doomsday Clock #1-12.",23.19,,DC,Geoff Johns,Gary Frank,Gary Frank,JUL207120,9781779506054,Full Color,Softcover
Elseworlds Justice League TP Vol 02,"(W) Doug Moench (A) Ted McKeever & Various (CA) Ty Templeton These alternate histories of the Justice League are collected for the first time! Includes JLA: ACT OF GOD #1-3, SUPERMAN: METROPOLIS #1, BATMAN: NOSFERATU #1 and WONDER WOMAN: BLUE AMAZON #1, plus ELSEWORLDS 80-PAGE GIANT #1!",20.29,424.0,DC,Doug Moench,Ted Mckeever,Ty Templeton,APR170423,9781401268558,Color,Softcover
Elseworlds Batman TP Vol 02,"(W) Doug Moench (A) Kelley Jones, John Beatty (CA) Kelley Jones The legendary horror known as Dracula has descended upon Gotham City-and it's up to Batman to stop the Lord of the Undead's assault on his city! Collects BATMAN & DRACULA: RED RAIN, BATMAN: BLOODSTORM, and BATMAN: CRIMSON MIST!",14.49,288.0,DC,Doug Moench,Kelley Jones,Kelley Jones,JUL160407,9781401269821,Full Color,Softcover
Elfquest Archives HC Vol 03,"This third thrilling volume collects Elfquest #11-15! The Wolfriders are taken as slaves into the towering and mysterious Blue Mountain, stronghold of the ancient elves called the Gliders. Featuring all-new lettering, a new cover by Wendy Pini and an introduction by David Wise & Audry Taylor!",24.99,224.0,DC,Wendy Pini Richard Pini,Wendy Pini,Wendy Pini,AUG050246,76194123971200311,Color,Hardcover
Earth One Box Set TP,"(W) Various (A) Various DC?s greatest heroes are redefined from the ground up in this box set collecting three Earth One stories, presenting bold new origin stories for Batman, Superman, and Wonder Woman! Batman: Earth One, from the Doomsday Clock team of Geoff Johns and Gary Frank, presents an all-new take on Batman?s origin, with a fallible, vulnerable, and angry Bruce Wayne embarking on his crime-fighting mission. Wonder Woman: Earth One, from comic book superstars Grant Morrison and Yanick Paquette, re-creates Diana of Themyscira?s mythology in a thoroughly modern but still timeless epic. Superman: Earth One, written by Babylon 5 creator J. Michael Straczynski and illustrated by acclaimed artist Shane Davis, started the Earth One line, with an unexpected and provocative perspective on Clark Kent?s transformation into Superman and his first year as the Man of Steel. This box set collects Batman: Earth One Vol. 1, Wonder Woman: Earth One Vol. 1, and Superman: Earth One Vol. 1.",28.99,,DC,Various,Various,Unknown,OCT207137,9781779507037,Full Color,Softcover
Dreaming TP Vol 02 Empty Shells (MR),"(W) Si Spurrier (A) Bilquis Evely, Abigail Larson (CA) Tiffany Turrill Even the Lord of Dreams is powerless against the storm of lost love. As with his predecessor Morpheus, Lord Daniel will find love in the last place anyone could have hoped for... the realm of the mortals. And as with all romantic entanglements between mortals and the Endless, things are destined to be doomed. Meanwhile, a newly awakened mind in the Dreaming brings with it radical changes that may undo reality itself! Collects The Dreaming #7-12.",9.85,152.0,DC,Si Spurrier,Bilquis Evely,Tiffany Turrill,OCT190657,9781401295639,Color,Softcover
Event Leviathan HC,"(W) Brian Michael Bendis & Various (A) Alex Maleev & Various (CA) Alex Maleev With startling ease, a dangerous and aggressive secret organization called Leviathan has systematically wiped out all its competition. Now Leviathan is turning its sights to molding the world into its own radical vision of order. Can this new threat be stopped? Join Lois Lane as she leads Batman, Green Arrow, Plastic Man, Manhunter, and the Question-along with a couple of surprise sleuths-in search of the man who sits behind the cloak of Leviathan. But will whoever finds him first capture him...or join him? Collects Event Leviathan #1-6 and Superman: Leviathan Rising #1.",17.39,264.0,DC,Brian Michael Bendis,Alex Maleev,Alex Maleev,DEC190569,9781401299590,Color,Unknown
Doom Patrol the Silver Age TP Vol 01,"(W) Arnold Drake, Bob Haney (A) Bruno Premiani, Bob Brown (CA) Evan Shaner This fast-paced volume introduces the Doom Patrol! Led by their wheelchair-bound chief, Niles Caulder, three outcasts of society - Negative Man, Elasti-Girl and Robotman - take the qualities that make them freaks and become heroes. Together, the trio takes on bizarre menaces including General Immortus, the Animal-Vegetable-Mineral Man and the Brotherhood of Evil. Collects MY GREATEST ADVENTURE #80-85 and DOOM PATROL #86-95.",17.39,376.0,DC,Arnold Drake,Bruno Premiani,Evan Shaner,APR180268,9781401281113,Color,Softcover
Doom Patrol TP Vol 01 Brick By Brick (MR),"(W) Gerard Way (A) Nick Derington (CA) Nick Derington, Gerard Way A blenderized reimagining of the ultimate series of the strange, DOOM PATROL combines elements from classic runs, new directions and things that could not be. Our entry point is Casey Brinke, a young E.M.T. on the graveyard shift to abstract enlightenment, with a past so odd that she's not entirely sure what is real and what is not. Along with her partner, Sam Reynolds, the pair blaze a path through the city and its denizens, finding the only quiet that exists at 3 a.m. is the chaos of the brain. When the pair answer a hit-and-run call, they find themselves face to face with a familiar figure: Cliff Steele, a.k.a. Robotman. This first DOOM PATROL trade paperback collects issues #1-6. MATURE READERS",9.85,176.0,DC,Gerard Way,Nick Derington,Nick Derington,FEB170287,9781401269791,Color,Softcover
Dmz TP Book 01 (MR),"(W) Brian Wood (A) Riccardo Burchielli (CA) Brian Wood In the first 12 issues of the acclaimed series, young photojournalist Matty Roth lands a dream gig in the DMZ once known as New York City. But when things go wrong, Matty finds himself lost in a world he's only seen on television. Now, will he try to find a way off the island, or make his career with an assignment most journalists would kill for?",14.49,304.0,DC,Brian Wood,Riccardo Burchielli,Brian Wood,FEB160255,9781401261351,Color,Softcover
Doom Patrol Weight of the Worlds TP (MR),"(W) Various (A) Various (CA) Nick Derington The Doom Patrol goes on an epic trip around the solar system, facing off against the fanatical fitness fiends of planet Orbius, the Marathon Eternal, and more. Big changes are coming for these heroes as Robotman comes to terms with his new life as a human, and Flex Mentallo seeks Destiny Beach. Collects Doom Patrol: Weight of the Worlds #1-7.",11.59,,DC,Various,Various,Nick Derington,JUL207137,9781779500786,Full Color,Softcover
Doom Patrol TP Book 01 (MR),"(W) Grant Morrison (A) Richard Case, John Nyberg (CA) Brian Bolland In these tales from DOOM PATROL #19-34, the world's strangest heroes have left behind almost every vestige of normality. Shunned as freaks and outcasts, the Doom Patrol faces mystifying threats that must be defeated-at any cost. These are the epics that introduced Rebis, Crazy Jane, Dorothy Spinner, the Brotherhood of Dada and more!",17.39,424.0,DC,Grant Morrison,Richard Case,Brian Bolland,NOV150304,9781401263126,Full Color,Softcover
Diana Princess of the Amazons TP,"(W) Dean Hale, Shannon Hale (A/CA) Victoria Ying Eleven-year-old Diana leads an idyllic life on the island of Themyscira. Cut off from the rest of the world, she's beginning to feel a little alone. Though she has a loving mother and many 'aunties,' she is an only child. In fact, she's the only child on the entire island! After an escapade goes wrong, Diana gets in trouble for not living up to the Amazonian standard. She just can't seem to measure up no matter what she does. Every other person on the island is an adult proficient in their trade and mighty in body, while she is gangly, sometimes clumsy, and not particularly good at anything. She's not Wonder Woman...yet, anyway. What Diana needs is a friend; someone her own age whom she can talk to. But when she decides to take matters into her own hands, she encounters the unexpected! From New York Times bestselling authors Shannon Hale (Princess Academy) and Dean Hale and artist Victoria Ying comes a heartfelt story about making mistakes, learning the hard way, and growing up to become a hero.",5.79,144.0,DC,Dean Hale,Victoria Ying,Victoria Ying,SEP190470,9781401291112,Color,Softcover
Dollhouse Family HC (MR),"(W) M.R. CAREY (A) PETER GROSS and VINCE LOCKE (CA) JESSICA DALVA On Alice?s sixth birthday, her dying great-aunt sent her the birthday gift she never knew she always wanted: a big, beautiful 19th-century dollhouse, complete with a family of antique dolls. In no time at all, the dollhouse isn?t just Alice?s favorite toy...it?s her whole world. And soon, young Alice learns she can enter the house to visit a new group of friends, straight out of a heartwarming children?s novel: the Dollhouse family. But while the Dollhouse family welcomes her with open arms, in the real world, her family life is becoming much more complicated...and deep within the Dollhouse?s twisting halls, the Black Room waits, with an offer to Alice. The house can fix all this, the Black Room says. All she has to do is say the words... From there unfolds a twisty, surreal, multigenerational horror tale that echoes into centuries past, into Alice?s tormented future, and into the beating heart of the madness that makes up our world...literally. Collects The Dollhouse Family #1-6.",14.49,,DC,M.R. Carey,Peter Gross And Vince Locke,Jessica Dalva,JUL207110,9781779504647,Full Color,Hardcover
Dmz TP Book 02 (MR),"In these stories from DMZ #13-28, Matty heads undercover to infiltrate a terrorist cell, interviews an enlisted U.S. soldier who's found guilty of a massacre, and turns his attention to several locals: a guerilla artist, a former ally who's now worse off than a homeless person, and the powerful head of an organization within the DMZ.",14.49,416.0,DC,Unknown,Unknown,Unknown,APR160420,9781401263577,Full Color,Softcover
Dial H for Hero TP Vol 02 New Heroes of Metropolis,"(W) Sam Humphries (A) Joe Quinones & Various As Miguel and Summer settle into their roles as both Metro-polis's youngest heroes and newest residents, they discover being a hero doesn't exactly pay the rent. They better figure that out, because Mister Thunderbolt and the Operator are in a race to claim the two remaining H-Dials, with the entire Multiverse hanging in the balance! It all leads to Miguel's confrontation with his most dangerous opponent yet-himself! Collects Dial H for Hero #7-12.",9.85,160.0,DC,Sam Humphries,Joe Quinones,Unknown,MAR200629,9781779501769,Full Color,Softcover
Deathstroke TP Vol 04 Family Business,"(W) James Bonny, Phil Hester (A) Tyler Kirkham & Various (CA) Tyler Kirkham After a bitter betrayal by a trusted comrade, Slade Wilson finds reluctant allies in his estranged children, Rose and Jericho. But as an all-out battle looms, he must also join forces with the one and only Ra's al Ghul...who may have his own hidden agenda. Could this uneasy family reunion spell doom for Deathstroke? Collects DEATHSTROKE #17-20 and DEATHSTROKE ANNUAL #2.",9.85,160.0,DC,James Bonny,Tyler Kirkham,Tyler Kirkham,SEP160341,9781401267940,Full Color,Softcover
Deathstroke TP Vol 03 Suicide Run,"(W) Tony S. Daniel, James Bonny (A/CA) Tyler Kirkham Deathstroke has battled gods, slain his enemies, and even sacrificed parts of himself he never thought he could live without! But his biggest challenge still lays ahead, and if he wants to succeed he'll need to defeat the assembled might of the Suicide Squad! Will this be his chance to get back at Harley Quinn after their previous battle? Find out in these tales from DEATHSTROKE #11-16.",9.85,144.0,DC,Tony S. Daniel,Tyler Kirkham,Tyler Kirkham,MAY160308,9781401264550,Full Color,Softcover
Deathstroke TP Vol 02 Godkiller,"(W) Tony S. Daniel, James Bonny (A) Tony S. Daniel & Various (CA) Tony S. Daniel Armed by Hephaestus with a dangerous new weapon capable of taking down an Olympian god, Deathstroke takes on his toughest assignment yet. But with heroes like Superman and Wonder Woman in his way, killing a god is nearly impossible, even for one of the deadliest men in the universe. Guest-starring Harley Quinn. This title collects issues #7-10, ANNUAL #1 and the Sneak Peek story from CONVERGENCE: BATMAN: SHADOW OF THE BAT #2.",8.69,144.0,DC,Tony S. Daniel,Tony S. Daniel,Tony S. Daniel,NOV150272,9781401261207,Full Color,Softcover
Dmz Vol 5 the Hidden War TP (MR),"Collecting issues #23-28 of the acclaimed series from writer Brian Wood (DEMO). The world and characters of the DMZ are expanded and enriched in this volume as Matty Roth turns his attention to several locals - a guerilla artist, a former ally who's now worse off than a homeless person, the powerful head of an organization within the DMZ and more.",7.49,144.0,DC,Brian Wood,Riccardo Burchielli & Danijel Zezelj,Brian Wood,JUL108009D,9781401218331,Color,Softcover
Deathstroke TP Vol 01 the Professional (Rebirth),"(W) Christopher Priest (A) Carlo Pagulayan & Various (CA) Aco Confronted by his own troubled past and challenged to reinvent himself before he loses everything and everyone in his life, Slade Wilson, a.k.a. Deathstroke, finds himself and those he values most in the crosshairs-stalked by an unseen enemy. Collects DEATHSTROKE #1-5 and DEATHSTROKE: REBIRTH #1.",9.85,144.0,DC,Christopher Priest,Carlo Pagulayan,Aco,DEC160372,9781401268237,Color,Softcover
Deathstroke TP Vol 01 Gods of War (N52),"(W) Tony S. Daniel (A) Tony S. Daniel, Sandu Florea (CA) Tony S. Daniel In these tales from issues #1-6 of the hot new series, Slade Wilson's entire life is turned upside down after he learns that his involvement in a top-secret mission was wiped from his memory. Now, a new, mysterious enemy known as Odysseus has targeted Deathstroke and everyone involved in the decade-old mission. But Slade's journey into his past takes an unexpected turn, leading him to Gotham City - and into conflict with both Batman and Harley Quinn!",8.69,144.0,DC,Tony S. Daniel,Tony S. Daniel,Tony S. Daniel,MAR150267,9781401254711,Full Color,Softcover
Deathstroke the Terminator TP Vol 03 Nuclear Winter (Res),"(W) Marv Wolfman (A) Art Nichols & Various (CA) Mike Zeck In these stories from DEATHSTROKE THE TERMINATOR #14-20, Deathstroke is in trouble. He's hunted by the CIA and the Teen Titans - At last, DC collects Catwoman's 1990s adventures! Gotham City's Feline Fatale has turned a new leaf as she faces off with Bane, takes on thugs and includes Knightquest, Knightsend and Zero Hour crossovers! Collects Catwoman #0-14.and he may be dying. And while he takes refuge on Titans island, he learns that the island has been taken over by the forces of the evil Lord Chaos. How will he escape with his what remains of his life?",14.49,280.0,DC,Marv Wolfman,Art Nichols,Mike Zeck,JUN170400,9781401260767,Color,Softcover
Flash By Manapul & Buccellato Omnibus HC,"(W) Francis Manapul, Brian Buccellato (A) Francis Manapul & Various (CA) Francis Manapul A mysterious and powerful Speed-Force killer has left a trail of bodies in his wake and only Barry Allen has the power to stop him in these stories from THE FLASH #0-25, plus issue #23.2 (starring Reverse-Flash)! But when the killer stays one step ahead of him, Barry finds himself face to face with the Teen Titans and Kid Flash for the first time. All this will lead to a confrontation with The Flash's most deadly foe, the Reverse-Flash!",57.99,709.0,DC,Francis Manapul,Francis Manapul,Francis Manapul,JUN160338,9781401261030,Full Color,Hardcover
Flash TP Vol 01 Move Forward (N52),"In this new paperback collection starring The Flash, Mob Rule wages a campaign of crime across Central City, plunging the city into darkness! The only way The Flash can save his city is to make his brain function even faster than before - but as much as it helps him, it also comes at a steep price. Collecting issues #1-8 of the monthly series!",9.85,168.0,DC,Brian Buccellato Francis Manapul,Francis Manapul,Francis Manapul,MAY130224,9781401235543,Color,Softcover
Flash the Silver Age TP Vol 01,"(W) John Broome, Robert Kanigher (A) Carmine Infantino, Joe Giella (CA) Michael Cho Collecting the earliest adventures of The Flash from SHOWCASE #4, 8 and 14, and THE FLASH #105-113! Witness the origin of The Flash, the debuts of his Rogues Gallery, including Captain Cold, Gorilla Grodd and Weather Wizard, and the introductions of fellow heroes Kid Flash and the Elongated Man.",14.49,424.0,DC,John Broome,Carmine Infantino,Michael Cho,MAR160261,9781401261108,Full Color,Softcover
Flash TP Vol 01 Lightning Strikes Twice (Rebirth),"(W) Joshua Williamson (A/CA) Carmine Di Giandomenico A new storm brews over Central City and disproves the old adage about lightning never striking twice! Just as Barry begins to feel overwhelmed fighting crime, a new speedster appears-but just where did this amazing new ally come from? Now, the Fastest Man Alive finds himself in a city of speedsters-and dealing with the reappearance of Wally West! Collects THE FLASH: REBIRTH #1 plus issues #1-8 of the new series.",10.43,176.0,DC,Joshua Williamson,Carmine Di Giandomenico,Carmine Di Giandomenico,OCT160292,9781401267841,Color,Softcover
Flash Season Zero TP,"(W) Andrew Kreisberg & Various (A) Phil Hester & Various Follow the adventures of Barry Allen from issues #1-12 of this new series as he struggles to balance his job as a police crime scene investigator, his unrequited crush on Iris West, and his new life as Central City's guardian angel!",11.59,264.0,DC,Andrew Kreisberg,Phil Hester,Unknown,JUN150297,9781401257712,Full Color,Softcover
Flash Savage Velocity TP,"Wally West's earliest adventures as the Flash are collected for the first time! During the Crisis on Infinite Earths, Barry Allen made the ultimate sacrifice, and gave his life to save millions. With his mentor gone, Wally West takes on the role of the Fastest Man Alive-but he doesn't exactly ease into things, as he soon finds himself in confrontation with Vandal Savage! Plus, meet new characters including sentient computer virus Kilg%re, matter-transporting Chunk, and S.T.A.R. Labs scientist Tina McGee! Collects The Flash #1-18 and The Flash Annual #1. ON SALE 08.26.20",23.19,480.0,DC,Unknown,Unknown,Unknown,JUN200543,9781401299576,Full Color,Softcover
Flash Rebirth TP,"Geoff Johns and Ethan Van Sciver, the writer/artist team behind the blockbuster GREEN LANTERN: REBIRTH and THE SINESTRO CORPS WAR, create an explosive, jaw-dropping epic that reintroduces Barry Allen as The Flash in this new collection of the fast-paced 6-issue miniseries. But how will this greatest of all Flashes find his place in the 21st century?",8.69,168.0,DC,Geoff Johns,Ethan Van Sciver,Ethan Van Sciver,JAN110329,9781401230012,Full Color,Softcover
Flash Rebirth DLX Coll HC Book 01,"(W) Joshua Williamson (A) Carmine Di Giandomenico, Neil Googe (CA) Karl Kerschl A new storm brews over Central City and disproves the old adage about lightning never, well...you know. Just as Barry begins to feel overwhelmed fighting crime, a new speedster debuts-but where did this amazing new friend come from? Spinning directly out of the epic events of DC UNIVERSE: REBIRTH, the Fastest Man Alive finds himself at the center of a DC Universe at a crossroads-and reeling from the reemergence of his prot?g?, Wally West! Collects issues #1-12 and THE FLASH: REBIRTH #1.",20.29,304.0,DC,Joshua Williamson,Carmine Di Giandomenico,Karl Kerschl,APR170414,9781401271589,Color,Hardcover
